City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,wotho,10.1657,166.0102,28.3,76,88,3.43,MH,1693645904
83,enewetak,11.3474,162.3373,28.74,78,54,5.89,MH,1693645904
84,ust-nera,64.5667,143.2,4.12,67,98,2.69,RU,1693645904
85,belyy yar,53.6039,91.3903,22.94,49,0,3.0,RU,1693645905
86,afaahiti,-17.75,-149.2833,20.93,74,100,6.3,PF,1693645905
87,emerald,-23.5333,148.1667,20.75,29,6,4.35,AU,1693645905
88,muzaffarpur,26.1167,85.4,37.21,43,40,5.38,IN,1693645905
89,popondetta,-8.7537,148.2534,23.28,79,91,0.96,PG,1693645905
90,la puebla de montalban,39.863,-4.3592,25.72,50,96,2.67,ES,1693645906
91,invercargill,-46.4,168.35,7.79,93,94,1.25,NZ,1693645906
92,talnakh,69.4865,88.3972,6.23,85,100,2.12,RU,1693645906
93,jingmen,31.0336,112.2047,30.52,46,83,3.98,CN,1693645660
94,margaret river,-33.95,115.0667,14.97,76,93,10.06,AU,1693645907
95,queenstown,-31.8976,26.8753,17.8,24,84,5.15,ZA,1693645816
96,edinburgh of the seven seas,-37.0676,-12.3116,9.94,62,100,5.2,SH,1693645907
97,kingston,17.997,-76.7936,28.53,85,20,2.57,JM,1693645907
98,catia la mar,10.6038,-67.0303,27.77,77,40,2.06,VE,1693645908
99,otjimbingwe,-22.35,16.1333,25.12,12,3,1.05,NA,1693645908
100,copiapo,-27.3667,-70.3333,12.3,86,60,2.79,CL,1693645908
101,polyarnyy,69.1989,33.4478,17.04,78,85,5.65,RU,1693645908
102,ribeira grande,38.5167,-28.7,23.76,73,20,4.47,PT,1693645909
103,tabasco,18.0,-92.6667,25.6,95,91,2.0,MX,1693645909
104,college,64.8569,-147.8028,8.37,84,75,7.2,US,1693645909
105,san pedro pochutla,15.7333,-96.4667,24.84,81,13,1.79,MX,1693645909
106,suva,-18.1416,178.4415,22.71,94,40,0.0,FJ,1693645910
107,kotri,25.366,68.3122,36.15,30,0,9.69,PK,1693645910
108,kununurra,-15.7667,128.7333,31.99,31,21,2.57,AU,1693645910
109,hasaki,35.7333,140.8333,29.06,82,34,4.73,JP,1693645911
110,hithadhoo,-0.6,73.0833,26.16,85,100,7.31,MV,1693645911
111,nadym,65.5333,72.5167,18.2,29,26,6.04,RU,1693645911
112,choyr,46.3611,108.3611,24.21,35,82,4.09,MN,1693645912
113,muravlenko,63.7898,74.523,17.36,38,7,5.51,RU,1693645912
114,macusani,-14.0833,-70.4333,2.9,86,100,0.79,PE,1693645913
115,ushuaia,-54.8,-68.3,-1.84,91,100,1.73,AR,1693645862
116,hamilton,39.1834,-84.5333,19.98,91,20,1.54,US,1693645681
117,atafu village,-8.5421,-172.5159,28.49,79,20,9.44,TK,1693645913
118,kokopo,-4.352,152.2633,25.3,74,80,7.35,PG,1693645913
119,villa tecolutilla,18.2833,-93.3167,26.13,84,100,1.4,MX,1693645914
120,ola,59.5833,151.2833,8.97,62,100,6.1,RU,1693645914
121,bandar lampung,-5.4254,105.258,28.48,58,11,3.92,ID,1693645914
122,yuzhno-kurilsk,44.0306,145.8556,19.25,98,100,0.87,RU,1693645914
123,katsuura,35.1333,140.3,27.02,85,39,2.97,JP,1693645915
124,crane,31.3974,-102.3501,25.66,38,0,3.2,US,1693645915
125,ust'-kut,56.7938,105.7672,14.65,37,0,4.37,RU,1693645915
126,port elizabeth,-33.918,25.5701,17.83,55,20,6.17,ZA,1693645915
127,gaigeturi,33.4644,126.3183,27.96,78,100,2.59,KR,1693645916
128,valozhyn,54.0909,26.5225,19.06,52,82,4.91,BY,1693645916
129,mermoz boabab,14.7065,-17.4758,27.88,83,20,2.06,SN,1693645916
130,quellon,-43.1167,-73.6167,3.45,86,33,3.08,CL,1693645916
131,berea,41.3662,-81.8543,17.15,93,0,2.06,US,1693645917
132,amos,48.5669,-78.1162,13.69,75,81,5.21,CA,1693645620
133,kristiansund,63.1115,7.732,14.03,87,75,3.09,NO,1693645897
134,bac lieu,9.285,105.7244,26.73,86,100,6.57,VN,1693645917
135,iqaluit,63.7506,-68.5145,-0.17,93,20,3.6,CA,1693645918
136,antonina,-25.4286,-48.7119,18.82,94,100,0.85,BR,1693645792
137,hawaiian paradise park,19.5933,-154.9731,24.29,90,75,0.45,US,1693645918
138,port alfred,-33.5906,26.891,15.1,78,100,2.68,ZA,1693645918
139,katsuren-haebaru,26.3369,127.8719,29.01,94,75,5.66,JP,1693645919
140,esil,51.9556,66.4042,11.91,92,100,4.17,KZ,1693645919
141,port mathurin,-19.6833,63.4167,22.52,76,6,10.82,MU,1693645919
142,monte carmelo,-18.7247,-47.4986,19.38,83,5,3.79,BR,1693645919
143,blora,-6.9698,111.4186,31.18,43,13,5.63,ID,1693645920
144,al bayda,32.7627,21.7551,25.24,50,0,4.75,LY,1693645920
145,ornskoldsvik,63.2909,18.7153,15.55,87,100,2.05,SE,1693645920
146,avarua,-21.2078,-159.775,20.03,68,75,2.57,CK,1693645921
147,parabel',58.6978,81.4825,15.42,89,100,1.95,RU,1693645921
148,christchurch,-43.5333,172.6333,9.95,88,100,4.63,NZ,1693645725
149,vorgashor,67.5833,63.95,14.59,64,100,1.29,RU,1693645922
150,charlottetown,46.2352,-63.1267,14.2,92,1,3.58,CA,1693645766
